General Logger: 	2026/03/15 09:26:27 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:15:05 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:15:07 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:15:07 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:16:45 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:18:07 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:18:17 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:18:18 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:18:18 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:18:48 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:19:10 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:20:07 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:20:55 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:20:57 response.go:9: Data recebido: pong
General Logger: 	2026/03/15 10:20:58 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:21:55 response.go:9: Data recebido: [{1 TESTE 10 10 0 0 0 0001-01-01 00:00:00 +0000 UTC 0001-01-01 00:00:00 +0000 UTC}]
General Logger: 	2026/03/15 10:21:56 response.go:9: Data recebido: pong
